Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Page
2026-05-04,83,HBLD83,1034.0,-0.86,1034.0,1034.0,1034.0,25,25850.0,3
2026-05-04,84,HDHPC,216.1,-3.01,233.0,214.0,233.0,294886,64021065.5,3
2026-05-04,85,HDL,1146.1,0.01,1169.0,1145.1,1169.0,37897,43560895.6,3
2026-05-04,86,HEI,519.0,0.58,520.0,510.0,510.0,4502,2326143.5,3
2026-05-04,87,HEIP,329.0,3.75,330.0,317.1,317.1,870,280060.0,3
2026-05-04,88,HFIN,1000.0,-2.34,1020.0,980.0,994.0,51713,51137885.8,3
2026-05-04,89,HHL,366.0,-4.69,389.8,363.0,380.0,88165,32830739.9,3
2026-05-04,90,HIDCL,262.5,-1.2,268.0,261.8,265.0,66976,17635928.0,3
2026-05-04,91,HIDCLP,200.0,-2.44,204.0,200.0,204.0,182133,36579037.2,3
2026-05-04,92,HIMSTAR,827.1,-1.54,850.0,825.0,846.0,4461,3737167.5,3
2026-05-04,93,HLBSL,898.0,1.01,898.0,870.0,870.0,1097,963029.5,3
2026-05-04,94,HLI,336.5,-1.03,341.0,335.1,338.1,48916,16483710.5,3
2026-05-04,95,HLICF,9.03,1.12,9.3,8.82,8.93,9770,89651.0,3
