Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-06,201,NLICL,32.71,562.0,575.0,562.0,570.0,570.0,569.06,7846,570.0,4464824.0,20,0.0,13.0,0.0,2.31,0.17,586.91,592.3,644.0,539.0
2026-08-06,202,NMB,25.82,247.1,247.1,241.1,243.9,243.9,243.89,67206,246.5,16390657.5,239,-2.6,6.0,-1.05,2.49,0.01,244.55,243.99,278.0,230.0
2026-08-06,203,NMB50,22.6,10.32,10.6,10.32,10.6,10.6,10.53,4900,10.43,51609.5,8,0.17,0.28,1.63,2.71,0.64,10.49,10.39,11.93,9.75
2026-08-06,204,NMBD87/88,14.52,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,100,1110.0,110000.0,1,-10.0,0.0,-0.9,0.0,0.0,1084.25,1059.32,1249.0,1040.0
2026-08-06,205,NMBHF2,15.5,9.53,9.6,9.53,9.6,9.6,9.59,2800,9.65,26847.0,17,-0.05,0.07,-0.52,0.73,0.12,9.68,9.5,10.2,8.57
2026-08-06,206,NMBMF,16.63,601.0,614.7,600.2,614.7,614.7,602.21,96,617.9,57812.2,3,-3.2,14.5,-0.52,2.42,2.03,648.59,661.7,787.9,582.0
2026-08-06,207,NMFBS,24.69,1105.1,1115.0,1104.5,1105.0,1105.0,1105.85,3282,1107.8,3629409.9,40,-2.8,10.5,-0.25,0.95,-0.08,1132.61,1169.11,1405.0,1051.9
2026-08-06,208,NMIC,32.56,928.0,928.0,910.3,913.0,913.0,919.6,3014,928.9,2771683.0,79,-15.9,17.7,-1.71,1.94,-0.72,1109.48,1167.81,1589.9,860.0
2026-08-06,209,NMLBBL,38.68,512.0,528.0,511.0,516.0,516.0,517.01,13451,512.3,6954326.2,76,3.7,17.0,0.72,3.33,-0.2,594.98,612.15,760.0,494.7
2026-08-06,210,NRIC,21.22,940.0,948.0,930.0,938.9,938.9,933.81,16972,937.0,15848640.7,160,1.9,18.0,0.2,1.94,0.54,1040.96,1127.44,1842.0,865.0
2026-08-06,211,NRM,29.77,307.0,314.9,306.0,310.5,310.5,311.1,3279,312.5,1020093.2,72,-2.0,8.9,-0.64,2.91,-0.19,379.69,396.04,590.0,295.1
2026-08-06,212,NRN,22.09,1382.0,1419.0,1380.0,1387.0,1387.0,1392.0,59207,1394.0,82415969.9,328,-7.0,39.0,-0.5,2.83,-0.36,1469.77,1512.19,2366.0,1280.0
2026-08-06,213,NSIF2,45.34,10.74,10.75,10.66,10.68,10.68,10.69,83800,10.74,895481.0,25,-0.06,0.09,-0.56,0.84,-0.06,10.75,10.59,11.7,9.75
2026-08-06,214,NSY,20.37,9.03,9.45,9.03,9.2,9.2,9.26,4500,9.3,41656.0,18,-0.1,0.42,-1.08,4.65,-0.62,0.0,0.0,10.19,9.0
2026-08-06,215,NTC,23.73,860.0,877.0,857.1,862.0,862.0,862.15,4505,865.8,3884007.4,98,-3.8,19.9,-0.44,2.32,-0.02,867.46,867.51,942.5,762.5
